q0,q1,q2,qd0,qd1,qd2,tau0,tau1,tau2
-0.523599,-1.11022e-16,0.523599,0.666667,1.33333,-1.11022e-16,0,0,0
-1.11022e-16,-1.11022e-16,0.523599,0.666667,1.33333,-1.11022e-16,0,0,0
-0.523599,-0.523599,-1.11022e-16,1.33333,1.33333,-1.11022e-16,0,0,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,1.33333,-1.11022e-16,0,0,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,1.33333,-1.11022e-16,0,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,1.33333,-1.11022e-16,0,0,0
-0.523599,-0.523599,0.523599,1.33333,1.33333,-1.11022e-16,0,0,0
-1.11022e-16,-0.523599,0.523599,1.33333,1.33333,-1.11022e-16,0,0,0
-0.523599,-1.11022e-16,0.523599,1.33333,1.33333,-1.11022e-16,0,0,0
-1.11022e-16,-1.11022e-16,0.523599,1.33333,1.33333,-1.11022e-16,0,0,0
-0.523599,-0.523599,-0.523599,2,1.33333,-1.11022e-16,0,0,6
-0.523599,-0.523599,-1.11022e-16,2,1.33333,-1.11022e-16,-15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,2,1.33333,-1.11022e-16,-15,0,0
-0.523599,-1.11022e-16,-1.11022e-16,2,1.33333,-1.11022e-16,-15,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,1.33333,-1.11022e-16,-15,0,0
-0.523599,-0.523599,0.523599,2,1.33333,-1.11022e-16,-15,0,0
-1.11022e-16,-0.523599,0.523599,2,1.33333,-1.11022e-16,-15,0,0
-0.523599,-1.11022e-16,0.523599,2,1.33333,-1.11022e-16,-15,0,0
-1.11022e-16,-1.11022e-16,0.523599,2,1.33333,-1.11022e-16,-15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,2,-1.11022e-16,15,-8,0
0.523599,-0.523599,-1.11022e-16,-1.33333,2,-1.11022e-16,15,-8,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,2,-1.11022e-16,15,-8,0
0.523599,-0.523599,0.523599,-1.33333,2,-1.11022e-16,15,-8,0
0.523599,-1.11022e-16,0.523599,-1.33333,2,-1.11022e-16,15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,-0.666667,2,-1.11022e-16,15,-8,0
0.523599,-0.523599,-1.11022e-16,-0.666667,2,-1.11022e-16,15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-0.666667,2,-1.11022e-16,15,-8,0
0.523599,-1.11022e-16,-1.11022e-16,-0.666667,2,-1.11022e-16,15,-8,0
-1.11022e-16,-0.523599,0.523599,-0.666667,2,-1.11022e-16,15,-8,0
0.523599,-0.523599,0.523599,-0.666667,2,-1.11022e-16,15,-8,0
-1.11022e-16,-1.11022e-16,0.523599,-0.666667,2,-1.11022e-16,15,-8,0
0.523599,-1.11022e-16,0.523599,-0.666667,2,-1.11022e-16,15,-8,0
-0.523599,-0.523599,-0.523599,-1.11022e-16,2,-1.11022e-16,15,0,6
-0.523599,-1.11022e-16,-0.523599,-1.11022e-16,2,-1.11022e-16,15,-8,6
-1.11022e-16,-0.523599,-1.11022e-16,-1.11022e-16,2,-1.11022e-16,15,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,-1.11022e-16,2,-1.11022e-16,15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-1.11022e-16,2,-1.11022e-16,15,-8,0
-0.523599,-0.523599,0.523599,-1.11022e-16,2,-1.11022e-16,15,0,0
-1.11022e-16,-0.523599,0.523599,-1.11022e-16,2,-1.11022e-16,15,-8,0
-0.523599,-1.11022e-16,0.523599,-1.11022e-16,2,-1.11022e-16,15,-8,0
-1.11022e-16,-1.11022e-16,0.523599,-1.11022e-16,2,-1.11022e-16,15,-8,0
-0.523599,-0.523599,-0.523599,0.666667,2,-1.11022e-16,15,0,6
-0.523599,-1.11022e-16,-0.523599,0.666667,2,-1.11022e-16,15,-8,6
-0.523599,-0.523599,-1.11022e-16,0.666667,2,-1.11022e-16,0,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,0.666667,2,-1.11022e-16,0,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,0.666667,2,-1.11022e-16,0,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,0.666667,2,-1.11022e-16,0,-8,0
-0.523599,-0.523599,0.523599,0.666667,2,-1.11022e-16,0,-8,0
-1.11022e-16,-0.523599,0.523599,0.666667,2,-1.11022e-16,0,-8,0
-0.523599,-1.11022e-16,0.523599,0.666667,2,-1.11022e-16,0,-8,0
-1.11022e-16,-1.11022e-16,0.523599,0.666667,2,-1.11022e-16,0,-8,0
-0.523599,-1.11022e-16,-0.523599,1.33333,2,-1.11022e-16,15,-8,6
-0.523599,-0.523599,-1.11022e-16,1.33333,2,-1.11022e-16,0,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,2,-1.11022e-16,0,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,2,-1.11022e-16,0,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,2,-1.11022e-16,0,-8,0
-0.523599,-0.523599,0.523599,1.33333,2,-1.11022e-16,0,-8,0
-1.11022e-16,-0.523599,0.523599,1.33333,2,-1.11022e-16,0,-8,0
-0.523599,-1.11022e-16,0.523599,1.33333,2,-1.11022e-16,0,-8,0
-1.11022e-16,-1.11022e-16,0.523599,1.33333,2,-1.11022e-16,0,-8,0
-0.523599,-0.523599,-0.523599,2,2,-1.11022e-16,0,0,6
-0.523599,-1.11022e-16,-0.523599,2,2,-1.11022e-16,0,-8,6
-0.523599,-0.523599,-1.11022e-16,2,2,-1.11022e-16,-15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,2,2,-1.11022e-16,-15,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,2,2,-1.11022e-16,-15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,2,-1.11022e-16,-15,-8,0
-0.523599,-0.523599,0.523599,2,2,-1.11022e-16,-15,-8,0
-1.11022e-16,-0.523599,0.523599,2,2,-1.11022e-16,-15,-8,0
-0.523599,-1.11022e-16,0.523599,2,2,-1.11022e-16,-15,-8,0
-1.11022e-16,-1.11022e-16,0.523599,2,2,-1.11022e-16,-15,-8,0
0.523599,-1.11022e-16,-0.523599,-1.33333,-1.33333,0.666667,15,8,0
0.523599,0.523599,-0.523599,-1.33333,-1.33333,0.666667,15,8,0
0.523599,0.523599,-1.11022e-16,-1.33333,-1.33333,0.666667,15,8,0
-1.11022e-16,-1.11022e-16,-0.523599,-0.666667,-1.33333,0.666667,15,8,0
0.523599,-1.11022e-16,-0.523599,-0.666667,-1.33333,0.666667,15,8,0
-1.11022e-16,0.523599,-0.523599,-0.666667,-1.33333,0.666667,15,8,0
0.523599,0.523599,-0.523599,-0.666667,-1.33333,0.666667,15,8,0
-1.11022e-16,0.523599,-1.11022e-16,-0.666667,-1.33333,0.666667,15,8,0
0.523599,0.523599,-1.11022e-16,-0.666667,-1.33333,0.666667,15,8,0
-1.11022e-16,-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,0.666667,15,8,0
-0.523599,0.523599,-0.523599,-1.11022e-16,-1.33333,0.666667,15,8,0
-1.11022e-16,0.523599,-0.523599,-1.11022e-16,-1.33333,0.666667,15,8,0
-0.523599,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,0.666667,15,8,0
-1.11022e-16,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,0.666667,15,8,0
0.523599,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,0.666667,0,8,0
-0.523599,-1.11022e-16,-0.523599,0.666667,-1.33333,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-0.523599,0.666667,-1.33333,0.666667,0,8,0
-0.523599,0.523599,-0.523599,0.666667,-1.33333,0.666667,0,8,0
-1.11022e-16,0.523599,-0.523599,0.666667,-1.33333,0.666667,0,8,0
-0.523599,0.523599,-1.11022e-16,0.666667,-1.33333,0.666667,0,8,0
-1.11022e-16,0.523599,-1.11022e-16,0.666667,-1.33333,0.666667,0,8,0
-0.523599,0.523599,0.523599,0.666667,-1.33333,0.666667,15,8,-6
-0.523599,-1.11022e-16,-0.523599,1.33333,-1.33333,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,-1.33333,0.666667,0,8,0
-0.523599,0.523599,-0.523599,1.33333,-1.33333,0.666667,0,8,0
-1.11022e-16,0.523599,-0.523599,1.33333,-1.33333,0.666667,0,8,0
-0.523599,0.523599,-1.11022e-16,1.33333,-1.33333,0.666667,0,8,0
-1.11022e-16,0.523599,-1.11022e-16,1.33333,-1.33333,0.666667,0,8,0
-0.523599,0.523599,0.523599,1.33333,-1.33333,0.666667,15,8,-6
-0.523599,-1.11022e-16,-0.523599,2,-1.33333,0.666667,-15,8,0
-1.11022e-16,-1.11022e-16,-0.523599,2,-1.33333,0.666667,-15,8,0
-0.523599,0.523599,-0.523599,2,-1.33333,0.666667,-15,8,0
-1.11022e-16,0.523599,-0.523599,2,-1.33333,0.666667,-15,8,0
-0.523599,0.523599,-1.11022e-16,2,-1.33333,0.666667,-15,8,0
-1.11022e-16,0.523599,-1.11022e-16,2,-1.33333,0.666667,-15,8,0
-0.523599,0.523599,0.523599,2,-1.33333,0.666667,0,8,-6
0.523599,-1.11022e-16,-0.523599,-1.33333,-0.666667,0.666667,15,8,0
0.523599,0.523599,-0.523599,-1.33333,-0.666667,0.666667,15,8,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,-0.666667,0.666667,15,8,0
0.523599,0.523599,-1.11022e-16,-1.33333,-0.666667,0.666667,15,8,0
-0.523599,-1.11022e-16,-0.523599,1.33333,-0.666667,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,-0.666667,0.666667,0,8,0
-0.523599,0.523599,-0.523599,1.33333,-0.666667,0.666667,0,8,0
-1.11022e-16,0.523599,-0.523599,1.33333,-0.666667,0.666667,0,8,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,-0.666667,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,-0.666667,0.666667,0,8,0
-0.523599,0.523599,-1.11022e-16,1.33333,-0.666667,0.666667,0,8,0
-1.11022e-16,0.523599,-1.11022e-16,1.33333,-0.666667,0.666667,0,8,0
-0.523599,-1.11022e-16,-0.523599,2,-0.666667,0.666667,-15,8,0
-1.11022e-16,-1.11022e-16,-0.523599,2,-0.666667,0.666667,-15,8,0
-0.523599,0.523599,-0.523599,2,-0.666667,0.666667,-15,8,0
-1.11022e-16,0.523599,-0.523599,2,-0.666667,0.666667,-15,8,0
-0.523599,-1.11022e-16,-1.11022e-16,2,-0.666667,0.666667,-15,8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,-0.666667,0.666667,-15,8,0
-0.523599,0.523599,-1.11022e-16,2,-0.666667,0.666667,-15,8,0
-1.11022e-16,0.523599,-1.11022e-16,2,-0.666667,0.666667,-15,8,0
0.523599,-1.11022e-16,-0.523599,-1.33333,-1.11022e-16,0.666667,15,8,0
0.523599,0.523599,-0.523599,-1.33333,-1.11022e-16,0.666667,15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,-1.11022e-16,0.666667,15,8,0
0.523599,-0.523599,-1.11022e-16,-1.33333,-1.11022e-16,0.666667,15,8,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,-1.11022e-16,0.666667,15,8,0
0.523599,0.523599,-1.11022e-16,-1.33333,-1.11022e-16,0.666667,15,0,0
-0.523599,-1.11022e-16,-0.523599,1.33333,-1.11022e-16,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,-1.11022e-16,0.666667,0,8,0
-0.523599,0.523599,-0.523599,1.33333,-1.11022e-16,0.666667,0,0,0
-1.11022e-16,0.523599,-0.523599,1.33333,-1.11022e-16,0.666667,0,0,0
-0.523599,-0.523599,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,8,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,8,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,8,0
-0.523599,0.523599,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,0,0
-1.11022e-16,0.523599,-1.11022e-16,1.33333,-1.11022e-16,0.666667,0,0,0
-0.523599,0.523599,0.523599,1.33333,-1.11022e-16,0.666667,15,0,-6
-0.523599,-0.523599,-0.523599,2,-1.11022e-16,0.666667,0,8,6
-0.523599,-1.11022e-16,-0.523599,2,-1.11022e-16,0.666667,-15,8,0
-1.11022e-16,-1.11022e-16,-0.523599,2,-1.11022e-16,0.666667,-15,8,0
-0.523599,0.523599,-0.523599,2,-1.11022e-16,0.666667,-15,0,0
-1.11022e-16,0.523599,-0.523599,2,-1.11022e-16,0.666667,-15,0,0
-0.523599,-0.523599,-1.11022e-16,2,-1.11022e-16,0.666667,-15,8,0
-1.11022e-16,-0.523599,-1.11022e-16,2,-1.11022e-16,0.666667,-15,8,0
-0.523599,-1.11022e-16,-1.11022e-16,2,-1.11022e-16,0.666667,-15,8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,-1.11022e-16,0.666667,-15,8,0
-0.523599,0.523599,-1.11022e-16,2,-1.11022e-16,0.666667,-15,0,0
-1.11022e-16,0.523599,-1.11022e-16,2,-1.11022e-16,0.666667,-15,0,0
-0.523599,0.523599,0.523599,2,-1.11022e-16,0.666667,0,0,-6
-1.11022e-16,-0.523599,-0.523599,-1.33333,0.666667,0.666667,15,0,0
0.523599,-0.523599,-0.523599,-1.33333,0.666667,0.666667,15,0,0
0.523599,-1.11022e-16,-0.523599,-1.33333,0.666667,0.666667,15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,0.666667,0.666667,15,0,0
0.523599,-0.523599,-1.11022e-16,-1.33333,0.666667,0.666667,15,0,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,0.666667,0.666667,15,0,0
-0.523599,-0.523599,-0.523599,1.33333,0.666667,0.666667,0,0,0
-1.11022e-16,-0.523599,-0.523599,1.33333,0.666667,0.666667,0,0,0
-0.523599,-1.11022e-16,-0.523599,1.33333,0.666667,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,0.666667,0.666667,0,0,0
-0.523599,-0.523599,-1.11022e-16,1.33333,0.666667,0.666667,0,0,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,0.666667,0.666667,0,0,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,0.666667,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,0.666667,0.666667,0,0,0
-0.523599,-0.523599,0.523599,1.33333,0.666667,0.666667,15,8,-6
-0.523599,-1.11022e-16,0.523599,1.33333,0.666667,0.666667,15,0,-6
-0.523599,-0.523599,-0.523599,2,0.666667,0.666667,-15,0,0
-1.11022e-16,-0.523599,-0.523599,2,0.666667,0.666667,-15,0,0
-0.523599,-1.11022e-16,-0.523599,2,0.666667,0.666667,-15,0,0
-1.11022e-16,-1.11022e-16,-0.523599,2,0.666667,0.666667,-15,0,0
-0.523599,-0.523599,-1.11022e-16,2,0.666667,0.666667,-15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,2,0.666667,0.666667,-15,0,0
-0.523599,-1.11022e-16,-1.11022e-16,2,0.666667,0.666667,-15,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,0.666667,0.666667,-15,0,0
-0.523599,-0.523599,0.523599,2,0.666667,0.666667,0,8,-6
-0.523599,-1.11022e-16,0.523599,2,0.666667,0.666667,0,0,-6
-1.11022e-16,-0.523599,-0.523599,-1.33333,1.33333,0.666667,15,-8,0
0.523599,-0.523599,-0.523599,-1.33333,1.33333,0.666667,15,-8,0
0.523599,-1.11022e-16,-0.523599,-1.33333,1.33333,0.666667,15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,1.33333,0.666667,15,0,0
0.523599,-0.523599,-1.11022e-16,-1.33333,1.33333,0.666667,15,0,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,1.33333,0.666667,15,0,0
-1.11022e-16,-0.523599,-0.523599,-0.666667,1.33333,0.666667,15,-8,0
0.523599,-0.523599,-0.523599,-0.666667,1.33333,0.666667,15,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,-0.666667,1.33333,0.666667,15,0,0
0.523599,-1.11022e-16,-0.523599,-0.666667,1.33333,0.666667,15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-0.666667,1.33333,0.666667,15,0,0
0.523599,-0.523599,-1.11022e-16,-0.666667,1.33333,0.666667,15,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-0.666667,1.33333,0.666667,15,0,0
0.523599,-1.11022e-16,-1.11022e-16,-0.666667,1.33333,0.666667,15,0,0
-0.523599,-0.523599,-0.523599,-1.11022e-16,1.33333,0.666667,15,0,6
-1.11022e-16,-0.523599,-0.523599,-1.11022e-16,1.33333,0.666667,15,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,-1.11022e-16,1.33333,0.666667,15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.11022e-16,1.33333,0.666667,15,0,0
-0.523599,-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,0.666667,15,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,0.666667,15,0,0
-0.523599,-0.523599,0.523599,-1.11022e-16,1.33333,0.666667,15,8,-6
-0.523599,-0.523599,-0.523599,0.666667,1.33333,0.666667,0,-8,0
-1.11022e-16,-0.523599,-0.523599,0.666667,1.33333,0.666667,0,-8,0
-0.523599,-1.11022e-16,-0.523599,0.666667,1.33333,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-0.523599,0.666667,1.33333,0.666667,0,0,0
-0.523599,-0.523599,-1.11022e-16,0.666667,1.33333,0.666667,0,0,0
-1.11022e-16,-0.523599,-1.11022e-16,0.666667,1.33333,0.666667,0,0,0
-0.523599,-1.11022e-16,-1.11022e-16,0.666667,1.33333,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,0.666667,1.33333,0.666667,0,0,0
-0.523599,-0.523599,0.523599,0.666667,1.33333,0.666667,15,8,-6
-0.523599,-0.523599,-0.523599,1.33333,1.33333,0.666667,0,-8,0
-1.11022e-16,-0.523599,-0.523599,1.33333,1.33333,0.666667,0,-8,0
-0.523599,-1.11022e-16,-0.523599,1.33333,1.33333,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,1.33333,0.666667,0,0,0
-0.523599,-0.523599,-1.11022e-16,1.33333,1.33333,0.666667,0,0,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,1.33333,0.666667,0,0,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,1.33333,0.666667,0,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,1.33333,0.666667,0,0,0
-0.523599,-0.523599,0.523599,1.33333,1.33333,0.666667,15,8,-6
-0.523599,-0.523599,-0.523599,2,1.33333,0.666667,-15,-8,0
-1.11022e-16,-0.523599,-0.523599,2,1.33333,0.666667,-15,-8,0
-0.523599,-1.11022e-16,-0.523599,2,1.33333,0.666667,-15,0,0
-1.11022e-16,-1.11022e-16,-0.523599,2,1.33333,0.666667,-15,0,0
-0.523599,-0.523599,-1.11022e-16,2,1.33333,0.666667,-15,0,0
-1.11022e-16,-0.523599,-1.11022e-16,2,1.33333,0.666667,-15,0,0
-0.523599,-1.11022e-16,-1.11022e-16,2,1.33333,0.666667,-15,0,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,1.33333,0.666667,-15,0,0
-0.523599,-0.523599,0.523599,2,1.33333,0.666667,0,8,-6
-1.11022e-16,-0.523599,-0.523599,-1.33333,2,0.666667,15,-8,0
0.523599,-0.523599,-0.523599,-1.33333,2,0.666667,15,-8,0
0.523599,-1.11022e-16,-0.523599,-1.33333,2,0.666667,15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,2,0.666667,15,-8,0
0.523599,-0.523599,-1.11022e-16,-1.33333,2,0.666667,15,-8,0
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,2,0.666667,15,-8,0
-1.11022e-16,-0.523599,-0.523599,-0.666667,2,0.666667,15,-8,0
0.523599,-0.523599,-0.523599,-0.666667,2,0.666667,15,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,-0.666667,2,0.666667,15,-8,0
0.523599,-1.11022e-16,-0.523599,-0.666667,2,0.666667,15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,-0.666667,2,0.666667,15,-8,0
0.523599,-0.523599,-1.11022e-16,-0.666667,2,0.666667,15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-0.666667,2,0.666667,15,-8,0
0.523599,-1.11022e-16,-1.11022e-16,-0.666667,2,0.666667,15,-8,0
-0.523599,-0.523599,-0.523599,-1.11022e-16,2,0.666667,15,0,6
-1.11022e-16,-0.523599,-0.523599,-1.11022e-16,2,0.666667,15,-8,0
-0.523599,-1.11022e-16,-0.523599,-1.11022e-16,2,0.666667,15,-8,6
-1.11022e-16,-1.11022e-16,-0.523599,-1.11022e-16,2,0.666667,15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,-1.11022e-16,2,0.666667,15,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,-1.11022e-16,2,0.666667,15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,-1.11022e-16,2,0.666667,15,-8,0
-0.523599,-0.523599,0.523599,-1.11022e-16,2,0.666667,15,0,-6
-0.523599,-0.523599,-0.523599,0.666667,2,0.666667,0,-8,0
-1.11022e-16,-0.523599,-0.523599,0.666667,2,0.666667,0,-8,0
-0.523599,-1.11022e-16,-0.523599,0.666667,2,0.666667,0,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,0.666667,2,0.666667,0,-8,0
-0.523599,-0.523599,-1.11022e-16,0.666667,2,0.666667,0,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,0.666667,2,0.666667,0,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,0.666667,2,0.666667,0,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,0.666667,2,0.666667,0,-8,0
-0.523599,-0.523599,0.523599,0.666667,2,0.666667,15,0,-6
-0.523599,-1.11022e-16,0.523599,0.666667,2,0.666667,15,-8,-6
-0.523599,-0.523599,-0.523599,1.33333,2,0.666667,0,-8,0
-1.11022e-16,-0.523599,-0.523599,1.33333,2,0.666667,0,-8,0
-0.523599,-1.11022e-16,-0.523599,1.33333,2,0.666667,0,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,2,0.666667,0,-8,0
-0.523599,-0.523599,-1.11022e-16,1.33333,2,0.666667,0,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,1.33333,2,0.666667,0,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,1.33333,2,0.666667,0,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,1.33333,2,0.666667,0,-8,0
-0.523599,-0.523599,0.523599,1.33333,2,0.666667,15,0,-6
-0.523599,-1.11022e-16,0.523599,1.33333,2,0.666667,15,-8,-6
-0.523599,-0.523599,-0.523599,2,2,0.666667,-15,-8,0
-1.11022e-16,-0.523599,-0.523599,2,2,0.666667,-15,-8,0
-0.523599,-1.11022e-16,-0.523599,2,2,0.666667,-15,-8,0
-1.11022e-16,-1.11022e-16,-0.523599,2,2,0.666667,-15,-8,0
-0.523599,-0.523599,-1.11022e-16,2,2,0.666667,-15,-8,0
-1.11022e-16,-0.523599,-1.11022e-16,2,2,0.666667,-15,-8,0
-0.523599,-1.11022e-16,-1.11022e-16,2,2,0.666667,-15,-8,0
-1.11022e-16,-1.11022e-16,-1.11022e-16,2,2,0.666667,-15,-8,0
-0.523599,-0.523599,0.523599,2,2,0.666667,0,0,-6
-0.523599,-1.11022e-16,0.523599,2,2,0.666667,0,-8,-6
0.523599,-1.11022e-16,-0.523599,-1.33333,-1.33333,1.33333,15,8,-6
0.523599,0.523599,-0.523599,-1.33333,-1.33333,1.33333,15,8,-6
0.523599,0.523599,-1.11022e-16,-1.33333,-1.33333,1.33333,15,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,-0.666667,-1.33333,1.33333,15,8,-6
0.523599,-1.11022e-16,-0.523599,-0.666667,-1.33333,1.33333,15,8,-6
-1.11022e-16,0.523599,-0.523599,-0.666667,-1.33333,1.33333,15,8,-6
0.523599,0.523599,-0.523599,-0.666667,-1.33333,1.33333,15,8,-6
-1.11022e-16,0.523599,-1.11022e-16,-0.666667,-1.33333,1.33333,15,8,-6
0.523599,0.523599,-1.11022e-16,-0.666667,-1.33333,1.33333,15,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,-1.11022e-16,-1.33333,1.33333,15,8,-6
-0.523599,0.523599,-0.523599,-1.11022e-16,-1.33333,1.33333,15,8,-6
-1.11022e-16,0.523599,-0.523599,-1.11022e-16,-1.33333,1.33333,15,8,-6
-0.523599,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,1.33333,15,8,-6
-1.11022e-16,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,1.33333,15,8,-6
0.523599,0.523599,-1.11022e-16,-1.11022e-16,-1.33333,1.33333,0,8,-6
-0.523599,-1.11022e-16,-0.523599,0.666667,-1.33333,1.33333,0,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,0.666667,-1.33333,1.33333,0,8,-6
-0.523599,0.523599,-0.523599,0.666667,-1.33333,1.33333,0,8,-6
-1.11022e-16,0.523599,-0.523599,0.666667,-1.33333,1.33333,0,8,-6
-0.523599,0.523599,-1.11022e-16,0.666667,-1.33333,1.33333,0,8,-6
-1.11022e-16,0.523599,-1.11022e-16,0.666667,-1.33333,1.33333,0,8,-6
-0.523599,-1.11022e-16,-0.523599,1.33333,-1.33333,1.33333,0,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,1.33333,-1.33333,1.33333,0,8,-6
-0.523599,0.523599,-0.523599,1.33333,-1.33333,1.33333,0,8,-6
-1.11022e-16,0.523599,-0.523599,1.33333,-1.33333,1.33333,0,8,-6
-0.523599,0.523599,-1.11022e-16,1.33333,-1.33333,1.33333,0,8,-6
-1.11022e-16,0.523599,-1.11022e-16,1.33333,-1.33333,1.33333,0,8,-6
-0.523599,-1.11022e-16,-0.523599,2,-1.33333,1.33333,-15,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,2,-1.33333,1.33333,-15,8,-6
-0.523599,0.523599,-0.523599,2,-1.33333,1.33333,-15,8,-6
-1.11022e-16,0.523599,-0.523599,2,-1.33333,1.33333,-15,8,-6
-0.523599,0.523599,-1.11022e-16,2,-1.33333,1.33333,-15,8,-6
-1.11022e-16,0.523599,-1.11022e-16,2,-1.33333,1.33333,-15,8,-6
0.523599,-1.11022e-16,-0.523599,-1.33333,-0.666667,1.33333,15,8,-6
0.523599,0.523599,-0.523599,-1.33333,-0.666667,1.33333,15,8,-6
0.523599,-1.11022e-16,-1.11022e-16,-1.33333,-0.666667,1.33333,15,8,-6
0.523599,0.523599,-1.11022e-16,-1.33333,-0.666667,1.33333,15,8,-6
-1.11022e-16,-1.11022e-16,-0.523599,-0.666667,-0.666667,1.33333,15,8,-6
0.523599,-1.11022e-16,-0.523599,-0.666667,-0.666667,1.33333,15,8,-6
